Date,FB Close,AMZN Close,NFLX Close,GOOGL Close
1/2/2020 16:00:00,209.78,1898.01,329.81,1368.68
1/3/2020 16:00:00,208.67,1874.97,325.9,1361.52
1/6/2020 16:00:00,212.6,1902.88,335.83,1397.81
1/7/2020 16:00:00,213.06,1906.86,330.75,1395.11
1/8/2020 16:00:00,215.22,1891.97,339.26,1405.04
1/9/2020 16:00:00,218.3,1901.05,335.66,1419.79
1/10/2020 16:00:00,218.06,1883.16,329.05,1428.96
1/13/2020 16:00:00,221.91,1891.3,338.92,1440.03
1/14/2020 16:00:00,219.06,1869.44,338.69,1430.59
1/15/2020 16:00:00,221.15,1862.02,339.07,1439.2
1/16/2020 16:00:00,221.77,1877.94,338.62,1450.16
1/17/2020 16:00:00,222.14,1864.72,339.67,1479.52
1/21/2020 16:00:00,221.44,1892,338.11,1482.25
1/22/2020 16:00:00,221.32,1887.46,326,1484.17
1/23/2020 16:00:00,219.76,1884.58,349.6,1484.69
1/24/2020 16:00:00,217.94,1861.64,353.16,1466.17
1/27/2020 16:00:00,214.87,1828.34,342.88,1431.73
1/28/2020 16:00:00,217.79,1853.25,348.52,1450.5
1/29/2020 16:00:00,223.23,1858,343.16,1456.7
1/30/2020 16:00:00,209.53,1870.68,347.74,1454.25
1/31/2020 16:00:00,201.91,2008.72,345.09,1432.78
2/3/2020 16:00:00,204.19,2004.2,358,1482.6
2/4/2020 16:00:00,209.83,2049.67,369.01,1445.41
2/5/2020 16:00:00,210.11,2039.87,369.67,1446.05
2/6/2020 16:00:00,210.85,2050.23,366.95,1475.97
2/7/2020 16:00:00,212.33,2079.28,366.77,1479.11
2/10/2020 16:00:00,213.06,2133.91,371.07,1508.66
2/11/2020 16:00:00,207.19,2150.8,373.69,1510.06
2/12/2020 16:00:00,210.76,2160,380.01,1518.63
2/13/2020 16:00:00,213.14,2149.87,381.4,1513.39
2/14/2020 16:00:00,214.18,2134.87,380.4,1518.73
2/18/2020 16:00:00,217.8,2155.67,387.78,1519.44
2/19/2020 16:00:00,217.49,2170.22,386.19,1524.87
2/20/2020 16:00:00,214.58,2153.1,386,1516.99
2/21/2020 16:00:00,210.18,2095.97,380.07,1483.46
2/24/2020 16:00:00,200.72,2009.29,368.7,1419.86
2/25/2020 16:00:00,196.77,1972.74,360.09,1386.32
2/26/2020 16:00:00,197.2,1979.59,379.24,1390.47
2/27/2020 16:00:00,189.75,1884.3,371.71,1314.95
2/28/2020 16:00:00,192.47,1883.75,369.03,1339.25
3/2/2020 16:00:00,196.44,1953.95,381.05,1386.32
3/3/2020 16:00:00,185.89,1908.99,368.77,1337.72
3/4/2020 16:00:00,191.76,1975.83,383.79,1381.6
3/5/2020 16:00:00,185.17,1924.03,372.78,1314.76
3/6/2020 16:00:00,181.09,1901.09,368.97,1295.74
3/9/2020 16:00:00,169.5,1800.61,346.49,1215.79
3/10/2020 16:00:00,178.19,1891.82,364.13,1275.17
3/11/2020 16:00:00,170.24,1820.86,349.92,1210.9
3/12/2020 16:00:00,154.47,1676.61,315.25,1111.55
3/13/2020 16:00:00,170.28,1785,336.3,1214.27
3/16/2020 16:00:00,146.01,1689.15,298.84,1073
3/17/2020 16:00:00,149.42,1807.84,319.75,1118.06
